iri,iri label,attribute,attribute label,entity,entity label
ECTO:0000979,exposure to temperature of surroundings,PATO:0000146,temperature,ENVO:00010483,environmental material
ECTO:0000980,,PATO:0000146,temperature,ENVO:00002005,air
ECTO:0000981,,PATO:0000146,temperature,ENVO:00002006,water
ECTO:0000982,,PATO:0001025,pressure,ENVO:00002006,water
ECTO:0001052,,PATO:0001305,increased temperature,ENVO:00002005,air
ECTO:0001053,,PATO:0001305,increased temperature,ENVO:00002006,water
ECTO:0001054,,PATO:0001305,increased temperature,ENVO:00010483,environmental material
ECTO:0001055,,PATO:0001306,decreased temperature,ENVO:00002005,air
ECTO:0001056,,PATO:0001306,decreased temperature,ENVO:00002006,water
ECTO:0001057,,PATO:0001306,decreased temperature,ENVO:00010483,environmental material
ECTO:0001058,,PATO:0001575,decreased pressure,ENVO:00002006,water
ECTO:0001059,,PATO:0001576,increased pressure,ENVO:00002006,water
ECTO:0001060,,PATO:0001985,freezing,ENVO:00002005,air
ECTO:0001061,,PATO:0001985,freezing,ENVO:00002006,water
ECTO:0001062,,PATO:0001985,freezing,ENVO:00010483,environmental material
ECTO:0002426,exposure to pressure,PATO:0001025,pressure,ENVO:00010483,environmental material
