defined_class	defined_class_name	stressor
ECTO:0500025	exposure to manufactured product	ENVO:00003074
ECTO:0500001	exposure to brake fluid	ENVO:03510001
ECTO:0500002	exposure to hydraulic fluid	ENVO:03510004
ECTO:0500003	exposure to automatic transmission fluid	ENVO:03510002
ECTO:0500004	exposure to motor oil	ENVO:03510005
ECTO:0500005	exposure to dye	ENVO:03510010
ECTO:0500006	exposure to leather dye	ENVO:03510011
ECTO:0500007	exposure to paper dye	ENVO:03510012
ECTO:0500008	exposure to textile dye	ENVO:03510013
ECTO:0500009	exposure to India ink	ENVO:03510014
ECTO:0500010	exposure to fountain pen ink	ENVO:03510017
ECTO:0500011	exposure to cleaning agent	ENVO:03510019
ECTO:0500012	exposure to degreaser	ENVO:03510020
ECTO:0500013	exposure to varnish	ENVO:03510021
ECTO:0500014	exposure to resin (gum) varnish	ENVO:03510022
ECTO:0500015	exposure to stain	ENVO:03510040
ECTO:0500016	exposure to wood stain	ENVO:03510041
ECTO:0500017	exposure to lacquer	ENVO:03510024
ECTO:0500018	exposure to oil paint thinner	ENVO:03510028
ECTO:0500019	exposure to acrylic paint medium	ENVO:03510026
ECTO:0500020	exposure to enamel thinner	ENVO:03510027
ECTO:0500021	exposure to vitreous enamel	ENVO:03510030
ECTO:0500022	exposure to turpentine	ENVO:03510034
ECTO:0500023	exposure to naphtha	ENVO:03510035
ECTO:0500024	exposure to paint thinner	ENVO:03510025
